1125;5;"Story";"DM1 15-XX Perform Lot 1B";;;"Perform - Lot 1B - Suivi Commande
Revue des conditions d'affichage du bloc (RG05, RG06, RG07)";;"Xavier";"- En service client, pour tout acte de gestion, voir le champ MSISDN obligatoire et le champ email facultatif. Pas de checkbox
- En choix convergent, pour les cas ci-dessous, voir le champ MSISDN obligatoire et le champ email facultatif. Pas de checkbox:
     - Migration Mobile + Acquisition MS => Convergent
     - Migration Mobile + Client RTC => Convergent
     - Acquisition Mobile + Client RTC => Convergent
     - Double acquisition => Convergent
     - Acquisition Mobile + Déménagement RTC => Convregent
     - Migration Mobile + Déménagement RTC => Convergent
- En choix convergent, pour tous les autres cas de gestion,  voir le champ MSISDN obligatoire et le champ email obligatoire. Pas de checkbox";;;5;5;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.BlocSuiviCommande";;;;;"finLigne"
"#";6;"it.";;05/03/15;;"ITERATION 06 du 05/03 au 19/03";;" ";;;;3;3;0;;;0;;"MEP 14/04";"15 à 20 pcx";"finLigne"
1128;6;"Story";"DM1 15-XX Perform Lot 1B";;;"Perform - Lot 1B - Suivi Commande
que le conseiller boutique revienne valider la commande Soft après l'impression et la signature du contrat, via l'affichage d'un message dans le bloc Contrat Orange. ";"d'envoyer le SO d'étalement dans la commande";"Xavier";"En choix mobile ou convergent, en boutique (POCD, canal BFT, CRE ou POD), pour un parcours de commande de terminal seul, voir afficher le message sous le titre ""Contrat Orange"".
Ne pas voir ce titre dans les autres cas de gestion";"Ecran récapitulatif de commande en point de vente physique
bloc édition du contrat
Ajouter un message en contexte terminal seul (voir maquette)";;3;3;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.GenererImprimerAccordOffreAtomique";;;;;"finLigne"
"#";7;"it.";;19/03/15;;"ITERATION 07 du 19/03 au 02/04";;" ";;;;31;31;0;;;0;;;"35 pcx";"finLigne"
1114;7;"Story";"FemToCell";;;"Sur sélection de l’option FemToCell, faire un appel à la VAD pour réserver un numéro de commande.";;"Xavier";;;;8;8;;;;;;;;"finLigne"
1115;7;"Story";"FemToCell";;;"Sur sélection de l’option FemToCell, faire un appel au getStockLevel pour vérifier le stock + valorisation de l’attribut de stock";;"Xavier";;;;5;5;;;;;;;;"finLigne"
1116;7;"Story";"FemToCell";;;"Ajouter un nouveau bloc « Adresse d’utilisation » du boitier FemToCell »
";"Si nouvelle adresse saisie, la formater par appels RCV
Par défaut = adresse d’installation de la box, proposer le choix d’une autre adresse
";"Xavier";;;;13;13;;;;;;;;"finLigne"
1127;7;"Story";"FemToCell";;;"Sur validation de la commande, enrichir le CCO des LC FemToCell";;"Xavier";;;;5;5;;;;;;;;"finLigne"
"#";8;"it.";;02/04/15;;"ITERATION 08 du 02/04 au 16/04";;" ";;;;0;0;0;;;0;;;"35 pcx";"finLigne"
"#";9;"it.";;16/04/15;;"ITERATION 09 du 16/04 au 30/04";;" ";;;;0;0;0;;;0;;"MEP 27/05";"35 pcx";"finLigne"
"#";10;"it.";;30/04/15;;"ITERATION 10 du 30/04 au 14/05";;" ";;;;0;0;0;;;0;;;"15 à 20 pcx";"finLigne"
"#";11;"it.";;14/05/15;;"ITERATION 11 du 14/05 au 28/05";;" ";;;;0;0;0;;;0;;"MEP 23/06";;"finLigne"
"#";12;"it.";;28/05/15;;"ITERATION 12 du 28/05 au 11/06";;" ";;;;0;0;0;;;0;;;;"finLigne"
"#";13;"it.";;11/06/15;;"ITERATION 13 du 11/06 au 25/06";;" ";;;;0;0;0;;;0;;"MEP 21/07";;"finLigne"
"#";14;"it.";;25/06/15;;"ITERATION 14 du 25/06 au 09/07";;" ";;;;0;0;0;;;0;;;;"finLigne"
"#";15;"it.";;09/07/15;;"ITERATION 15 du 09/07 au 23/07";;" ";"Faire un test ko avec ancienneté = 1 mois (la promotion ne doit pas être pésente dans le configuateur)";;;0;0;0;;;0;;;;"finLigne"
"#";16;"it.";;23/07/15;"G2R7 IT1";"ITERATION 16 du 23/07 au 06/08";;" ";;;;0;0;0;;;0;;;;"finLigne"
"#";"xx";"it.";;"pas de N° itération";"G2R7 IT2";"ITERATION xx";;" ";;;;8;8;0;;;0;;;;"finLigne"
1107;"xx";"Story";"DM1 14-089 - Demenagement avec acquisition mobile";;;"Permettre le déménagement de RTC ou HOME vers OPEN avec acquisition d'une ligne mobile :
- modification de l'indication ""Indiquez si l'adresse de facturation correspond"" dans le bloc ""Adresse de facturation"" de l'écran récap";;"Christophe";;;;3;3;;;;;;;;"finLigne"
1086;"xx";"Story";"Perform";;;"Ne plus faire l'analyse des statut du parc mais récupérer un warning de façade Parc";"Voir avec FACADE la prise en compte";;"à compléter";;;5;5;;;;;;;;"finLigne"
1104;"xx";"Story";"Retour prod";;;"Gérer le parc Mobile lorsque le parc MS est winback";;"Xavier?";;;;;0;;;;;;;;"finLigne"
"#";"à prio récent";"it.";;"pas de N° itération";;"ITERATION à prio récent";;" ";;;;93;55;38;;;0;;;;"finLigne"
1097;"à prio récent";"Story";"Perform";;;"Perform - CR
Modification de 3 libellés de RG1. (MSISDN => numéro de mobile)";;"Xavier";"Voir numéro de mobile pour les RG1,10, 1,22 et 1,24";;;2;2;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.CasnonSoftnonRedirect";;;;;"finLigne"
